,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time"
0,ER_700_800_0.15_47,39,38,37,41,36,38,41,38,38,38,30.031355142593384,30.013160943984985,30.028499841690063,30.016584873199463,30.024376153945923,30.022125959396362,30.025474071502686,30.013424158096313,30.028425931930542,30.030529022216797
1,ER_700_800_0.15_57,39,39,35,36,38,39,39,38,37,40,30.033798933029175,30.012568950653076,30.039918184280396,30.083580017089844,30.114609003067017,30.020725965499878,30.017974853515625,30.022016763687134,30.077467918395996,30.014627933502197
2,ER_700_800_0.15_25,39,38,38,40,41,38,38,40,38,38,30.025663137435913,30.023547887802124,30.01156210899353,30.023587942123413,30.087905883789062,30.030895948410034,30.01964807510376,30.013626098632812,30.010079860687256,30.00923180580139
3,ER_700_800_0.15_102,40,39,40,39,40,38,39,40,41,40,30.094791889190674,30.091307163238525,30.068246841430664,30.08391499519348,30.07013201713562,30.08635711669922,30.08321499824524,30.097774028778076,30.103394985198975,30.01400399208069
4,ER_700_800_0.15_35,41,42,39,38,39,39,39,39,40,40,30.11671781539917,30.064448833465576,30.080321073532104,30.073997020721436,30.100899934768677,30.08445906639099,30.11334991455078,30.128121852874756,30.089897871017456,30.08094596862793
5,ER_700_800_0.15_112,39,38,38,39,37,38,38,37,39,36,30.021591901779175,30.022807121276855,30.01294207572937,30.02260684967041,30.021081924438477,30.008720874786377,30.027106046676636,30.02217197418213,30.02489399909973,30.024457931518555
6,ER_700_800_0.15_78,41,34,37,39,38,37,39,40,39,38,30.00534415245056,30.031920909881592,30.024019956588745,30.036186933517456,30.023780822753906,30.04341697692871,30.031996965408325,30.032921075820923,30.023613929748535,30.128010988235474
7,ER_700_800_0.15_68,39,38,38,38,39,38,38,38,38,36,30.02677297592163,30.127663135528564,30.020567178726196,30.08979892730713,30.01028800010681,30.024492025375366,30.02064800262451,30.012552976608276,30.55133605003357,30.00691819190979
8,ER_700_800_0.15_85,41,38,39,38,38,40,40,40,38,39,30.018581867218018,30.0993549823761,30.097522974014282,30.097167015075684,30.02473282814026,30.012173175811768,30.08414888381958,30.07649302482605,30.073153972625732,30.077395915985107
9,ER_700_800_0.15_95,39,39,39,38,36,40,42,39,39,39,30.081594944000244,30.07918691635132,30.092571020126343,30.722693920135498,30.37503409385681,30.088407039642334,30.085975170135498,30.097060918807983,30.08186101913452,30.081910848617554
10,ER_700_800_0.15_124,42,39,41,39,41,39,40,39,41,42,30.074244022369385,30.072911024093628,30.07542586326599,30.080021858215332,30.079308032989502,30.08665895462036,30.067893981933594,30.097713947296143,30.072651863098145,30.076873064041138
11,ER_700_800_0.15_13,39,41,40,39,39,40,38,38,39,41,30.111274003982544,30.11336398124695,30.106773853302002,30.123876094818115,30.09389615058899,30.081203937530518,30.075453996658325,30.07997488975525,30.10133695602417,30.098137855529785
