,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.15_47,39,30.05271005630493
1,ER_700_800_0.15_57,40,30.030922889709473
2,ER_700_800_0.15_25,41,30.023977994918823
3,ER_700_800_0.15_102,40,30.023629903793335
4,ER_700_800_0.15_35,40,30.02460503578186
5,ER_700_800_0.15_112,40,30.50255799293518
6,ER_700_800_0.15_78,39,30.025789976119995
7,ER_700_800_0.15_68,39,30.054203987121582
8,ER_700_800_0.15_85,40,30.029634952545166
9,ER_700_800_0.15_95,41,30.038774967193604
10,ER_700_800_0.15_124,42,30.03470206260681
11,ER_700_800_0.15_13,39,30.041309118270874
12,ER_700_800_0.15_4,39,30.035892009735107
13,ER_700_800_0.15_61,40,30.045005798339844
14,ER_700_800_0.15_71,40,30.027645111083984
15,ER_700_800_0.15_94,41,30.03245520591736
16,ER_700_800_0.15_84,42,30.0299129486084
17,ER_700_800_0.15_12,40,30.03055191040039
18,ER_700_800_0.15_125,42,30.563509941101074
19,ER_700_800_0.15_70,41,30.028894901275635
20,ER_700_800_0.15_60,41,30.030177116394043
21,ER_700_800_0.15_5,40,30.03156805038452
22,ER_700_800_0.15_56,40,30.029088973999023
23,ER_700_800_0.15_46,41,30.67693305015564
24,ER_700_800_0.15_113,41,30.024375200271606
25,ER_700_800_0.15_34,40,30.03063702583313
26,ER_700_800_0.15_103,41,30.121968984603882
27,ER_700_800_0.15_24,40,30.027448892593384
28,ER_700_800_0.15_69,41,30.83782386779785
29,ER_700_800_0.15_79,40,30.205389976501465
30,ER_700_800_0.15_118,41,30.187119960784912
31,ER_700_800_0.15_108,43,30.021798849105835
32,ER_700_800_0.15_86,41,30.025012969970703
33,ER_700_800_0.15_96,40,30.33783483505249
34,ER_700_800_0.15_62,41,30.588608026504517
35,ER_700_800_0.15_72,41,30.02358388900757
36,ER_700_800_0.15_7,41,30.269628047943115
37,ER_700_800_0.15_127,42,30.360249042510986
38,ER_700_800_0.15_10,40,30.022135972976685
39,ER_700_800_0.15_101,40,30.471458911895752
40,ER_700_800_0.15_26,42,30.02942395210266
41,ER_700_800_0.15_111,41,30.38669204711914
42,ER_700_800_0.15_36,40,30.685590028762817
43,ER_700_800_0.15_44,42,30.029107093811035
44,ER_700_800_0.15_54,41,30.030725955963135
45,ER_700_800_0.15_19,41,30.026652097702026
46,ER_700_800_0.15_37,41,30.023422956466675
47,ER_700_800_0.15_110,40,30.025418043136597
48,ER_700_800_0.15_27,40,30.117933988571167
49,ER_700_800_0.15_100,41,30.3787579536438
50,ER_700_800_0.15_55,41,31.082633018493652
51,ER_700_800_0.15_45,39,30.23435688018799
52,ER_700_800_0.15_18,45,30.174855947494507
53,ER_700_800_0.15_97,40,30.028578996658325
54,ER_700_800_0.15_87,40,30.02348279953003
55,ER_700_800_0.15_109,41,33.64278292655945
56,ER_700_800_0.15_119,42,30.027519941329956
57,ER_700_800_0.15_6,41,30.495928049087524
58,ER_700_800_0.15_73,41,30.028240203857422
