,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.05_15,93,30.013895988464355
1,ER_700_800_0.05_23,97,30.072256088256836
2,ER_700_800_0.05_2,101,30.022334098815918
3,ER_700_800_0.05_22,95,30.069517135620117
4,ER_700_800_0.05_3,99,30.021425008773804
5,ER_700_800_0.05_14,93,30.033538818359375
6,ER_700_800_0.05_1,94,30.024490118026733
7,ER_700_800_0.05_20,91,30.044058084487915
8,ER_700_800_0.05_30,99,30.011558055877686
9,ER_700_800_0.05_29,96,30.03949213027954
10,ER_700_800_0.05_8,96,30.042329788208008
11,ER_700_800_0.05_16,96,30.009008169174194
12,ER_700_800_0.05_28,97,30.012866020202637
13,ER_700_800_0.05_9,91,30.02326011657715
14,ER_700_800_0.05_17,92,30.024844884872437
15,ER_700_800_0.05_0,100,30.04211688041687
16,ER_700_800_0.05_31,96,30.053974866867065
17,ER_700_800_0.05_21,98,30.018261909484863
18,ER_700_800_0.05_5,98,30.014559984207153
19,ER_700_800_0.05_24,94,30.027765035629272
20,ER_700_800_0.05_12,92,30.203087091445923
21,ER_700_800_0.05_13,94,30.007763147354126
22,ER_700_800_0.05_4,98,30.013596057891846
23,ER_700_800_0.05_25,97,30.018604040145874
24,ER_700_800_0.05_11,93,30.016136169433594
25,ER_700_800_0.05_18,96,30.044798135757446
26,ER_700_800_0.05_27,94,30.11854386329651
27,ER_700_800_0.05_6,99,30.02493119239807
28,ER_700_800_0.05_19,94,30.030076026916504
29,ER_700_800_0.05_26,99,30.033716917037964
30,ER_700_800_0.05_7,98,30.02165198326111
31,ER_700_800_0.05_10,94,30.013673782348633
32,ER_700_800_0.1_1,56,30.0221848487854
33,ER_700_800_0.1_12,54,30.0260751247406
34,ER_700_800_0.1_8,56,30.0262770652771
35,ER_700_800_0.1_24,56,30.030619144439697
36,ER_700_800_0.1_9,56,30.026422023773193
37,ER_700_800_0.1_25,59,30.030715942382812
38,ER_700_800_0.1_0,56,30.026598930358887
39,ER_700_800_0.1_13,56,30.025084972381592
40,ER_700_800_0.1_27,55,30.3769588470459
41,ER_700_800_0.1_18,57,30.02755904197693
42,ER_700_800_0.1_2,57,30.05267906188965
43,ER_700_800_0.1_11,57,30.559757947921753
44,ER_700_800_0.1_3,58,30.04084014892578
45,ER_700_800_0.1_10,54,30.01833415031433
46,ER_700_800_0.1_26,52,30.016495943069458
47,ER_700_800_0.1_19,53,30.027557849884033
48,ER_700_800_0.1_23,54,31.26071000099182
49,ER_700_800_0.1_15,56,30.026133060455322
50,ER_700_800_0.1_6,55,30.036072969436646
51,ER_700_800_0.1_14,54,30.01480484008789
52,ER_700_800_0.1_7,54,30.022119998931885
53,ER_700_800_0.1_22,54,30.028785943984985
54,ER_700_800_0.1_16,56,30.026448965072632
55,ER_700_800_0.1_29,57,30.024835109710693
56,ER_700_800_0.1_5,58,30.026591062545776
57,ER_700_800_0.1_20,55,30.089459896087646
58,ER_700_800_0.1_30,58,30.023921012878418
59,ER_700_800_0.1_31,56,30.027580976486206
60,ER_700_800_0.1_21,54,30.02682590484619
61,ER_700_800_0.1_17,54,30.094762086868286
