,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time"
0,ER_700_800_0.05_15,98,30.032020092010498
1,ER_700_800_0.05_23,94,30.024274110794067
2,ER_700_800_0.05_2,97,30.031670808792114
3,ER_700_800_0.05_22,96,30.0560200214386
4,ER_700_800_0.05_3,95,30.183588981628418
5,ER_700_800_0.05_14,94,30.192178964614868
6,ER_700_800_0.05_1,95,30.015894174575806
7,ER_700_800_0.05_20,93,30.01830291748047
8,ER_700_800_0.05_30,96,30.025877952575684
9,ER_700_800_0.05_29,95,30.0165798664093
10,ER_700_800_0.05_8,95,30.03467297554016
11,ER_700_800_0.05_16,93,30.012362003326416
12,ER_700_800_0.05_28,97,30.188167095184326
13,ER_700_800_0.05_9,92,30.023966073989868
14,ER_700_800_0.05_17,95,30.00952911376953
15,ER_700_800_0.05_0,94,30.038527011871338
16,ER_700_800_0.05_31,96,30.046267986297607
17,ER_700_800_0.05_21,96,30.05291986465454
18,ER_700_800_0.05_5,93,30.02814793586731
19,ER_700_800_0.05_24,93,30.008341073989868
20,ER_700_800_0.05_12,92,30.049257040023804
21,ER_700_800_0.05_13,92,30.027482986450195
22,ER_700_800_0.05_4,97,30.019600868225098
23,ER_700_800_0.05_25,95,30.12815284729004
24,ER_700_800_0.05_11,94,30.020977020263672
25,ER_700_800_0.05_18,95,30.02307915687561
26,ER_700_800_0.05_27,94,30.01593589782715
27,ER_700_800_0.05_6,99,30.029190063476562
28,ER_700_800_0.05_19,92,30.0267391204834
29,ER_700_800_0.05_26,94,30.021095991134644
30,ER_700_800_0.05_7,97,30.02037811279297
31,ER_700_800_0.05_10,93,30.02872109413147
32,ER_700_800_0.1_1,57,30.02298903465271
33,ER_700_800_0.1_12,55,30.016602039337158
34,ER_700_800_0.1_8,56,30.020584106445312
35,ER_700_800_0.1_24,56,30.022469997406006
36,ER_700_800_0.1_9,56,30.028491973876953
37,ER_700_800_0.1_25,57,30.210100889205933
38,ER_700_800_0.1_0,58,30.180673122406006
39,ER_700_800_0.1_13,56,30.024660110473633
40,ER_700_800_0.1_27,55,30.00812792778015
41,ER_700_800_0.1_18,57,30.19492483139038
42,ER_700_800_0.1_2,55,30.02419090270996
43,ER_700_800_0.1_11,57,30.009721994400024
44,ER_700_800_0.1_3,53,30.022674083709717
45,ER_700_800_0.1_10,55,30.02184510231018
46,ER_700_800_0.1_26,56,30.024641036987305
47,ER_700_800_0.1_19,58,30.023001194000244
48,ER_700_800_0.1_23,56,30.27108907699585
49,ER_700_800_0.1_15,58,30.31893491744995
50,ER_700_800_0.1_6,57,30.007841110229492
51,ER_700_800_0.1_14,54,30.027517795562744
52,ER_700_800_0.1_7,58,30.023216009140015
53,ER_700_800_0.1_22,56,30.02393913269043
54,ER_700_800_0.1_16,57,30.021478176116943
55,ER_700_800_0.1_29,57,30.02162504196167
56,ER_700_800_0.1_5,55,30.16965103149414
57,ER_700_800_0.1_20,57,30.199681043624878
58,ER_700_800_0.1_30,57,30.040263891220093
59,ER_700_800_0.1_31,55,30.031155109405518
60,ER_700_800_0.1_21,58,30.023487091064453
61,ER_700_800_0.1_17,56,30.010807037353516
62,ER_700_800_0.1_28,58,30.02637004852295
63,ER_700_800_0.1_4,55,30.021146059036255
64,ER_700_800_0.15_25,41,30.0265212059021
65,ER_700_800_0.15_13,41,30.026177167892456
66,ER_700_800_0.15_4,41,30.033416032791138
67,ER_700_800_0.15_12,41,30.029757976531982
68,ER_700_800_0.15_5,39,30.018352031707764
69,ER_700_800_0.15_24,40,30.033764839172363
70,ER_700_800_0.15_7,41,30.02621817588806
71,ER_700_800_0.15_10,41,30.022525787353516
72,ER_700_800_0.15_26,39,30.02552604675293
