,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time"
0,ER_700_800_0.15_47,39,30.067568063735962
1,ER_700_800_0.15_57,41,30.0804660320282
2,ER_700_800_0.15_25,41,30.087750911712646
3,ER_700_800_0.15_102,41,30.071696996688843
4,ER_700_800_0.15_35,40,30.27149510383606
5,ER_700_800_0.15_112,41,30.069103956222534
6,ER_700_800_0.15_78,41,30.067848920822144
7,ER_700_800_0.15_68,40,30.057250022888184
8,ER_700_800_0.15_85,41,30.075728178024292
9,ER_700_800_0.15_95,40,30.068413019180298
10,ER_700_800_0.15_124,41,30.072432041168213
11,ER_700_800_0.15_13,39,30.337446928024292
12,ER_700_800_0.15_4,41,30.06767201423645
13,ER_700_800_0.15_61,42,30.06895089149475
14,ER_700_800_0.15_71,41,30.054779052734375
15,ER_700_800_0.15_94,42,30.068675994873047
16,ER_700_800_0.15_84,41,30.062963008880615
17,ER_700_800_0.15_12,41,30.290132999420166
18,ER_700_800_0.15_125,42,30.065425157546997
19,ER_700_800_0.15_70,40,30.061805963516235
20,ER_700_800_0.15_60,40,30.068347930908203
21,ER_700_800_0.15_5,39,30.081918001174927
22,ER_700_800_0.15_56,41,30.067046880722046
23,ER_700_800_0.15_46,41,30.097112894058228
24,ER_700_800_0.15_113,42,30.072118043899536
25,ER_700_800_0.15_34,40,30.058544874191284
26,ER_700_800_0.15_103,41,30.0798659324646
27,ER_700_800_0.15_24,41,30.052976846694946
28,ER_700_800_0.15_69,39,30.062248945236206
29,ER_700_800_0.15_79,42,30.09832501411438
30,ER_700_800_0.15_118,41,30.057044982910156
31,ER_700_800_0.15_108,39,30.04822587966919
32,ER_700_800_0.15_86,40,30.062026023864746
33,ER_700_800_0.15_96,40,30.049914121627808
34,ER_700_800_0.15_62,41,30.070088148117065
35,ER_700_800_0.15_72,39,30.070034980773926
36,ER_700_800_0.15_7,42,30.06851601600647
37,ER_700_800_0.15_127,41,30.08213710784912
38,ER_700_800_0.15_10,38,30.06274700164795
39,ER_700_800_0.15_101,40,30.057852029800415
40,ER_700_800_0.15_26,39,30.017637968063354
41,ER_700_800_0.15_111,42,30.071553945541382
42,ER_700_800_0.15_36,40,30.095577001571655
43,ER_700_800_0.15_44,41,30.076114892959595
44,ER_700_800_0.15_54,41,30.06359887123108
45,ER_700_800_0.15_19,40,30.061702966690063
46,ER_700_800_0.15_37,41,30.069753885269165
47,ER_700_800_0.15_110,40,30.061887979507446
48,ER_700_800_0.15_27,41,30.068827867507935
49,ER_700_800_0.15_100,41,30.05883502960205
50,ER_700_800_0.15_55,39,30.058579921722412
51,ER_700_800_0.15_45,41,30.051585912704468
52,ER_700_800_0.15_18,42,30.05817985534668
