,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 29250 Solution Time"
0,ER_700_800_0.15_47,39,30.00013494491577
1,ER_700_800_0.15_57,39,30.088489532470703
2,ER_700_800_0.15_25,40,30.12805199623108
3,ER_700_800_0.15_102,39,30.015170574188232
4,ER_700_800_0.15_35,39,30.09419536590576
5,ER_700_800_0.15_112,39,30.126795291900635
6,ER_700_800_0.15_78,39,30.11527681350708
7,ER_700_800_0.15_68,38,30.067224979400635
8,ER_700_800_0.15_85,39,30.063225984573364
9,ER_700_800_0.15_95,38,30.003289461135864
10,ER_700_800_0.15_124,40,30.135799169540405
11,ER_700_800_0.15_13,39,30.12882423400879
12,ER_700_800_0.15_4,39,30.1538188457489
13,ER_700_800_0.15_61,39,30.061330318450928
14,ER_700_800_0.15_71,39,30.24012517929077
15,ER_700_800_0.15_94,39,30.253514289855957
16,ER_700_800_0.15_84,39,30.000541925430298
17,ER_700_800_0.15_12,38,30.000670671463013
18,ER_700_800_0.15_125,39,30.067336797714233
19,ER_700_800_0.15_70,39,30.035504817962646
20,ER_700_800_0.15_60,39,30.318451642990112
21,ER_700_800_0.15_5,39,30.20764422416687
22,ER_700_800_0.15_56,38,30.028854370117188
23,ER_700_800_0.15_46,39,30.04044198989868
24,ER_700_800_0.15_113,39,30.128844499588013
25,ER_700_800_0.15_34,38,30.213542699813843
26,ER_700_800_0.15_103,39,30.02900457382202
27,ER_700_800_0.15_24,39,30.11428141593933
28,ER_700_800_0.15_69,39,30.291722297668457
29,ER_700_800_0.15_79,39,30.000060319900513
30,ER_700_800_0.15_118,39,30.000158309936523
31,ER_700_800_0.15_108,38,30.00047254562378
32,ER_700_800_0.15_86,38,30.000131845474243
33,ER_700_800_0.15_96,38,30.000191926956177
34,ER_700_800_0.15_62,40,30.1035315990448
35,ER_700_800_0.15_72,39,30.01999306678772
36,ER_700_800_0.15_7,40,30.456315755844116
37,ER_700_800_0.15_127,40,30.249996423721313
38,ER_700_800_0.15_10,39,30.0030038356781
39,ER_700_800_0.15_101,40,30.193006992340088
40,ER_700_800_0.15_26,39,30.395784854888916
41,ER_700_800_0.15_111,39,30.26428771018982
42,ER_700_800_0.15_36,39,30.19292402267456
43,ER_700_800_0.15_44,40,30.152034044265747
44,ER_700_800_0.15_54,38,30.000187158584595
45,ER_700_800_0.15_19,40,30.430038452148438
46,ER_700_800_0.15_37,39,30.00025749206543
47,ER_700_800_0.15_110,39,30.200946807861328
48,ER_700_800_0.15_27,39,30.074415922164917
49,ER_700_800_0.15_100,41,30.000221967697144
50,ER_700_800_0.15_55,39,30.046204090118408
51,ER_700_800_0.15_45,41,30.001579761505127
52,ER_700_800_0.15_18,39,30.001503229141235
53,ER_700_800_0.15_97,40,30.121604442596436
54,ER_700_800_0.15_87,38,30.107246160507202
55,ER_700_800_0.15_109,39,30.200397729873657
56,ER_700_800_0.15_119,39,30.023558855056763
57,ER_700_800_0.15_6,40,30.14258599281311
58,ER_700_800_0.15_73,39,30.070985794067383
59,ER_700_800_0.15_63,40,30.000768661499023
60,ER_700_800_0.15_11,39,30.202047109603882
61,ER_700_800_0.15_126,39,30.00124454498291
62,ER_700_800_0.15_3,38,30.129111766815186
63,ER_700_800_0.15_66,38,30.160399913787842
64,ER_700_800_0.15_76,39,30.190550565719604
65,ER_700_800_0.15_123,39,30.174381971359253
66,ER_700_800_0.15_14,38,30.075593948364258
67,ER_700_800_0.15_59,39,30.211296558380127
68,ER_700_800_0.15_49,40,30.033326387405396
69,ER_700_800_0.15_82,39,30.00007176399231
70,ER_700_800_0.15_92,39,30.00022292137146
71,ER_700_800_0.15_22,39,30.153912782669067
72,ER_700_800_0.15_105,39,30.000065088272095
73,ER_700_800_0.15_32,39,30.088256359100342
74,ER_700_800_0.15_115,40,30.018890619277954
75,ER_700_800_0.15_40,39,30.000761032104492
76,ER_700_800_0.15_50,40,30.00008249282837
77,ER_700_800_0.15_114,40,30.165197134017944
78,ER_700_800_0.15_33,39,30.136441946029663
79,ER_700_800_0.15_104,39,30.194765329360962
80,ER_700_800_0.15_23,40,30.068190097808838
81,ER_700_800_0.15_51,39,30.000258922576904
82,ER_700_800_0.15_41,38,30.000155687332153
83,ER_700_800_0.15_77,39,30.00066089630127
84,ER_700_800_0.15_67,40,30.214993953704834
85,ER_700_800_0.15_2,39,30.00018334388733
86,ER_700_800_0.15_15,40,30.16498637199402
87,ER_700_800_0.15_122,39,30.00036334991455
88,ER_700_800_0.15_48,39,30.000385522842407
89,ER_700_800_0.15_58,40,30.000322818756104
90,ER_700_800_0.15_93,38,30.000089406967163
91,ER_700_800_0.15_83,40,30.0892391204834
92,ER_700_800_0.15_9,39,30.04056215286255
93,ER_700_800_0.15_43,39,30.000229597091675
94,ER_700_800_0.15_53,39,30.101888179779053
95,ER_700_800_0.15_106,39,30.088478565216064
96,ER_700_800_0.15_21,39,30.144533157348633
97,ER_700_800_0.15_116,39,30.16963028907776
98,ER_700_800_0.15_31,40,30.117462635040283
99,ER_700_800_0.15_98,40,30.0193190574646
100,ER_700_800_0.15_88,39,30.167749166488647
101,ER_700_800_0.15_120,40,30.196059703826904
102,ER_700_800_0.15_17,38,30.000617504119873
103,ER_700_800_0.15_65,40,30.056995630264282
104,ER_700_800_0.15_75,38,30.235755920410156
105,ER_700_800_0.15_0,39,30.046475887298584
106,ER_700_800_0.15_38,39,30.192546844482422
