,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 58500 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 58500 Solution Time"
0,ER_700_800_0.05_15,90,30.08594012260437
1,ER_700_800_0.05_23,91,30.002676725387573
2,ER_700_800_0.05_2,90,30.000273942947388
3,ER_700_800_0.05_22,90,30.000236988067627
4,ER_700_800_0.05_3,90,30.118550539016724
5,ER_700_800_0.05_14,92,30.000792264938354
6,ER_700_800_0.05_1,88,30.052306413650513
7,ER_700_800_0.05_20,87,30.096196174621582
8,ER_700_800_0.05_30,91,30.08798098564148
9,ER_700_800_0.05_29,88,30.176793098449707
10,ER_700_800_0.05_8,89,30.15219783782959
11,ER_700_800_0.05_16,89,30.001097202301025
12,ER_700_800_0.05_28,88,30.117274522781372
13,ER_700_800_0.05_9,89,30.045844078063965
14,ER_700_800_0.05_17,87,30.000373601913452
15,ER_700_800_0.05_0,91,30.19032096862793
16,ER_700_800_0.05_31,90,30.151937007904053
17,ER_700_800_0.05_21,91,30.115466117858887
18,ER_700_800_0.05_5,91,30.071848392486572
19,ER_700_800_0.05_24,91,30.189354181289673
20,ER_700_800_0.05_12,88,30.00008797645569
21,ER_700_800_0.05_13,88,30.216009855270386
22,ER_700_800_0.05_4,90,30.257190227508545
23,ER_700_800_0.05_25,90,30.000170469284058
24,ER_700_800_0.05_11,88,30.11531352996826
25,ER_700_800_0.05_18,88,30.012207984924316
26,ER_700_800_0.05_27,89,30.33536958694458
27,ER_700_800_0.05_6,90,30.000011920928955
28,ER_700_800_0.05_19,89,30.10737919807434
29,ER_700_800_0.05_26,92,30.16032886505127
30,ER_700_800_0.05_7,91,30.000144243240356
31,ER_700_800_0.05_10,88,30.150697469711304
32,ER_700_800_0.1_1,53,30.232541799545288
33,ER_700_800_0.1_12,53,30.33272385597229
34,ER_700_800_0.1_8,54,30.01108980178833
35,ER_700_800_0.1_24,54,30.035884618759155
36,ER_700_800_0.1_9,54,30.298606634140015
37,ER_700_800_0.1_25,53,30.3413143157959
38,ER_700_800_0.1_0,53,30.000176429748535
39,ER_700_800_0.1_13,55,30.178202867507935
40,ER_700_800_0.1_27,52,30.295912504196167
41,ER_700_800_0.1_18,53,30.1303551197052
42,ER_700_800_0.1_2,54,30.00018286705017
43,ER_700_800_0.1_11,54,30.143601655960083
44,ER_700_800_0.1_3,53,30.245834589004517
45,ER_700_800_0.1_10,53,30.00067973136902
46,ER_700_800_0.1_26,52,30.105370044708252
47,ER_700_800_0.1_19,54,30.282808780670166
48,ER_700_800_0.1_23,52,30.204943895339966
49,ER_700_800_0.1_15,53,30.184614896774292
50,ER_700_800_0.1_6,53,30.18567728996277
51,ER_700_800_0.1_14,53,30.19091534614563
52,ER_700_800_0.1_7,55,30.216512441635132
53,ER_700_800_0.1_22,54,30.198458433151245
54,ER_700_800_0.1_16,53,30.00020170211792
55,ER_700_800_0.1_29,54,30.231470108032227
56,ER_700_800_0.1_5,54,30.062634706497192
57,ER_700_800_0.1_20,53,30.093997716903687
58,ER_700_800_0.1_30,54,30.00032138824463
59,ER_700_800_0.1_31,53,30.056076765060425
60,ER_700_800_0.1_21,54,30.01347255706787
61,ER_700_800_0.1_17,54,30.155399799346924
62,ER_700_800_0.1_28,54,30.000358819961548
63,ER_700_800_0.1_4,54,30.03305697441101
64,ER_700_800_0.15_25,38,30.003004789352417
65,ER_700_800_0.15_13,39,30.00008225440979
66,ER_700_800_0.15_4,39,30.00000500679016
67,ER_700_800_0.15_12,39,30.155391216278076
68,ER_700_800_0.15_5,39,30.0005145072937
69,ER_700_800_0.15_24,39,30.23340344429016
70,ER_700_800_0.15_7,38,30.021095275878906
71,ER_700_800_0.15_10,39,30.000259399414062
72,ER_700_800_0.15_26,38,30.00023078918457
73,ER_700_800_0.15_19,40,30.011584758758545
74,ER_700_800_0.15_27,39,30.036937952041626
75,ER_700_800_0.15_18,39,30.105931282043457
76,ER_700_800_0.15_6,39,30.00051522254944
77,ER_700_800_0.15_11,40,30.030248403549194
78,ER_700_800_0.15_3,39,30.000062704086304
79,ER_700_800_0.15_14,39,30.000340938568115
80,ER_700_800_0.15_22,38,30.084260940551758
81,ER_700_800_0.15_23,39,30.00008988380432
82,ER_700_800_0.15_2,39,30.169991493225098
83,ER_700_800_0.15_15,39,30.000090837478638
84,ER_700_800_0.15_9,39,30.000048637390137
85,ER_700_800_0.15_21,39,30.00024127960205
86,ER_700_800_0.15_31,40,30.000587940216064
87,ER_700_800_0.15_17,39,30.091126918792725
88,ER_700_800_0.15_0,39,30.19763493537903
89,ER_700_800_0.15_28,39,30.000715255737305
90,ER_700_800_0.15_16,40,30.163017988204956
91,ER_700_800_0.15_1,38,30.05620765686035
92,ER_700_800_0.15_29,39,30.191396951675415
93,ER_700_800_0.15_8,39,30.033291816711426
94,ER_700_800_0.15_30,39,30.000693559646606
