,Dataset Name,"CPSATMIS_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","CPSATMIS_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.15_47,43,30.222336848
1,ER_700_800_0.15_57,43,30.214228528000003
2,ER_700_800_0.15_25,45,30.290728314000003
3,ER_700_800_0.15_102,44,30.230395033
4,ER_700_800_0.15_35,43,30.312078584
5,ER_700_800_0.15_112,43,30.26975466
6,ER_700_800_0.15_78,41,30.412587035
7,ER_700_800_0.15_68,43,30.383126426
8,ER_700_800_0.15_85,42,31.00469306
9,ER_700_800_0.15_95,41,30.322915406000003
10,ER_700_800_0.15_124,45,30.621818833000003
11,ER_700_800_0.15_13,43,30.671345333
12,ER_700_800_0.15_4,41,30.323665332
13,ER_700_800_0.15_61,43,30.324639163
14,ER_700_800_0.15_71,41,30.589414766
15,ER_700_800_0.15_94,44,30.302166526
16,ER_700_800_0.15_84,42,30.266617935000003
17,ER_700_800_0.15_12,42,30.301616494
18,ER_700_800_0.15_125,46,30.396688586000003
19,ER_700_800_0.15_70,44,30.400781188000003
20,ER_700_800_0.15_60,43,30.263520241000002
21,ER_700_800_0.15_5,43,30.282092264000003
22,ER_700_800_0.15_56,44,30.368168101000002
23,ER_700_800_0.15_46,43,30.34768657
24,ER_700_800_0.15_113,45,30.645024784
25,ER_700_800_0.15_34,43,30.334812408
26,ER_700_800_0.15_103,43,30.492992185000002
27,ER_700_800_0.15_24,42,30.867425435
28,ER_700_800_0.15_69,42,31.037281415000002
29,ER_700_800_0.15_79,43,31.033205539
30,ER_700_800_0.15_118,43,30.136389461
31,ER_700_800_0.15_108,42,30.386173305000003
32,ER_700_800_0.15_86,41,30.292922669000003
33,ER_700_800_0.15_96,42,30.130734983000004
34,ER_700_800_0.15_62,42,30.806203266
35,ER_700_800_0.15_72,42,30.205931547000002
36,ER_700_800_0.15_7,43,30.313601616000003
37,ER_700_800_0.15_127,42,30.188678053
38,ER_700_800_0.15_10,42,30.267357415000003
39,ER_700_800_0.15_101,44,30.182789024
40,ER_700_800_0.15_26,41,30.126880623
41,ER_700_800_0.15_111,42,30.291589078
42,ER_700_800_0.15_36,42,30.149437466000002
43,ER_700_800_0.15_44,43,30.733047377000002
44,ER_700_800_0.15_54,44,30.103040197000002
45,ER_700_800_0.15_19,41,30.170733536
46,ER_700_800_0.15_37,43,30.232116296
47,ER_700_800_0.15_110,42,30.201036700000003
48,ER_700_800_0.15_27,42,30.239811908000004
49,ER_700_800_0.15_100,44,30.721197236000002
50,ER_700_800_0.15_55,42,30.255411378
51,ER_700_800_0.15_45,43,30.395034705
52,ER_700_800_0.15_18,42,30.270495366000002
53,ER_700_800_0.15_97,42,30.296028131000003
54,ER_700_800_0.15_87,42,30.142826290000002
55,ER_700_800_0.15_109,44,30.317585597
56,ER_700_800_0.15_119,43,30.324393535000002
57,ER_700_800_0.15_6,44,30.77410868
58,ER_700_800_0.15_73,43,30.286349874000003
59,ER_700_800_0.15_63,44,30.318930924000004
60,ER_700_800_0.15_11,42,30.221346745
61,ER_700_800_0.15_126,41,30.29337851
62,ER_700_800_0.15_3,44,30.230603939
63,ER_700_800_0.15_66,43,30.196272145000002
64,ER_700_800_0.15_76,43,30.185534591000003
65,ER_700_800_0.15_123,43,30.237678071
66,ER_700_800_0.15_14,42,30.598708253
67,ER_700_800_0.15_59,44,30.147503457000003
68,ER_700_800_0.15_49,44,30.548194765
69,ER_700_800_0.15_82,42,30.220801967000003
70,ER_700_800_0.15_92,42,30.214072701000003
71,ER_700_800_0.15_22,43,30.185908418
72,ER_700_800_0.15_105,42,30.889949346
73,ER_700_800_0.15_32,42,30.723988768
74,ER_700_800_0.15_115,43,30.143794713000002
75,ER_700_800_0.15_40,43,30.377920544000002
76,ER_700_800_0.15_50,43,30.372284077000003
77,ER_700_800_0.15_114,41,30.173929222
78,ER_700_800_0.15_33,43,30.142385748000002
79,ER_700_800_0.15_104,43,30.265034909
80,ER_700_800_0.15_23,45,30.107686932000004
81,ER_700_800_0.15_51,43,30.271859321
82,ER_700_800_0.15_41,43,30.264741402000002
83,ER_700_800_0.15_77,44,30.364519312000002
84,ER_700_800_0.15_67,43,30.507026072000002
85,ER_700_800_0.15_2,44,30.491903215
86,ER_700_800_0.15_15,41,30.385374377
87,ER_700_800_0.15_122,42,30.184576243000002
88,ER_700_800_0.15_48,42,30.231190225000002
89,ER_700_800_0.15_58,44,30.564049344
90,ER_700_800_0.15_93,41,31.382955130000003
91,ER_700_800_0.15_83,42,30.319261231000002
92,ER_700_800_0.15_9,43,30.196854979
93,ER_700_800_0.15_43,42,30.336333306
94,ER_700_800_0.15_53,42,30.265701446
95,ER_700_800_0.15_106,42,30.285759891
96,ER_700_800_0.15_21,43,30.735908279
97,ER_700_800_0.15_116,43,30.232328738000003
98,ER_700_800_0.15_31,42,30.110679371000003
99,ER_700_800_0.15_98,43,30.326665959000003
100,ER_700_800_0.15_88,43,30.701490156000002
101,ER_700_800_0.15_120,42,30.217794681
102,ER_700_800_0.15_17,41,30.227057170000002
103,ER_700_800_0.15_65,44,30.988286643000002
104,ER_700_800_0.15_75,43,30.11426159
105,ER_700_800_0.15_0,42,30.386924652
106,ER_700_800_0.15_38,43,30.204836383000004
107,ER_700_800_0.15_28,42,30.215649519000003
108,ER_700_800_0.15_81,42,30.271121493000003
109,ER_700_800_0.15_91,40,30.147177814000003
110,ER_700_800_0.15_16,44,30.233891037000003
111,ER_700_800_0.15_121,42,30.195512694
112,ER_700_800_0.15_1,42,30.254709360000003
113,ER_700_800_0.15_74,44,30.225294085
114,ER_700_800_0.15_64,42,30.209628060000004
115,ER_700_800_0.15_90,43,30.244614452
116,ER_700_800_0.15_80,42,30.220043116000003
117,ER_700_800_0.15_29,42,30.164834990000003
118,ER_700_800_0.15_39,42,30.402698816
119,ER_700_800_0.15_8,44,30.156549871000003
120,ER_700_800_0.15_52,42,30.196914121000002
121,ER_700_800_0.15_42,42,30.423035041000002
122,ER_700_800_0.15_89,43,30.46587935
123,ER_700_800_0.15_99,43,30.185391882
124,ER_700_800_0.15_30,41,30.659184929000002
125,ER_700_800_0.15_117,42,30.402597709000002
126,ER_700_800_0.15_20,42,30.160234107
127,ER_700_800_0.15_107,42,30.198902954
