,Dataset Name,"CPSATMIS batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","CPSATMIS batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.15_47,42,30.249221707
1,ER_700_800_0.15_57,45,30.654681074000003
2,ER_700_800_0.15_25,42,30.574693866
3,ER_700_800_0.15_102,44,30.419788238000002
4,ER_700_800_0.15_35,41,30.323280222
5,ER_700_800_0.15_112,44,30.327172030000003
6,ER_700_800_0.15_78,41,30.321790076000003
7,ER_700_800_0.15_68,42,28.078532512000002
8,ER_700_800_0.15_85,43,30.458249138000003
9,ER_700_800_0.15_95,43,30.531947556000002
10,ER_700_800_0.15_124,44,30.206890783000002
11,ER_700_800_0.15_13,41,30.311320931
12,ER_700_800_0.15_4,42,30.660437458
13,ER_700_800_0.15_61,42,30.805157512
14,ER_700_800_0.15_71,42,30.410797886
15,ER_700_800_0.15_94,41,30.425051586000002
16,ER_700_800_0.15_84,43,30.287219906
17,ER_700_800_0.15_12,41,30.214355276000003
18,ER_700_800_0.15_125,43,30.450881646000003
19,ER_700_800_0.15_70,42,30.440053367
20,ER_700_800_0.15_60,43,30.182464372000002
21,ER_700_800_0.15_5,41,30.621275149000002
22,ER_700_800_0.15_56,44,31.161056136000003
23,ER_700_800_0.15_46,43,30.519890953
24,ER_700_800_0.15_113,43,30.34454751
25,ER_700_800_0.15_34,41,31.34022252
26,ER_700_800_0.15_103,41,30.378047336
27,ER_700_800_0.15_24,43,30.16832318
28,ER_700_800_0.15_69,42,30.270310426
29,ER_700_800_0.15_79,43,30.326242034000003
30,ER_700_800_0.15_118,41,30.238712849000002
31,ER_700_800_0.15_108,42,30.20215156
32,ER_700_800_0.15_86,43,30.365214042
33,ER_700_800_0.15_96,42,30.323550652
34,ER_700_800_0.15_62,43,30.320317357
35,ER_700_800_0.15_72,42,30.167315437000003
36,ER_700_800_0.15_7,42,30.275993392
37,ER_700_800_0.15_127,42,30.207980685000003
38,ER_700_800_0.15_10,42,30.422340612000003
39,ER_700_800_0.15_101,43,30.295806867000003
40,ER_700_800_0.15_26,42,30.293138994000003
41,ER_700_800_0.15_111,43,30.379888013000002
42,ER_700_800_0.15_36,41,30.846634908000002
43,ER_700_800_0.15_44,44,30.762527756
44,ER_700_800_0.15_54,43,30.275124836000003
45,ER_700_800_0.15_19,42,30.184983682000002
46,ER_700_800_0.15_37,41,30.145449675000002
47,ER_700_800_0.15_110,41,30.218995993000004
48,ER_700_800_0.15_27,43,30.192592464
49,ER_700_800_0.15_100,42,30.193544615
50,ER_700_800_0.15_55,42,30.884963467000002
51,ER_700_800_0.15_45,43,30.757925203000003
52,ER_700_800_0.15_18,42,30.297852285
53,ER_700_800_0.15_97,43,30.282168373
54,ER_700_800_0.15_87,44,30.237471903000003
55,ER_700_800_0.15_109,42,30.199054327000002
56,ER_700_800_0.15_119,44,30.210904201
57,ER_700_800_0.15_6,43,30.222323834
58,ER_700_800_0.15_73,42,30.219090012000002
59,ER_700_800_0.15_63,41,30.368607006
60,ER_700_800_0.15_11,42,30.215525948000003
61,ER_700_800_0.15_126,43,30.125392180000002
62,ER_700_800_0.15_3,43,30.193076451000003
63,ER_700_800_0.15_66,42,30.243414112000004
64,ER_700_800_0.15_76,41,30.396555086000003
65,ER_700_800_0.15_123,44,30.216659381000003
66,ER_700_800_0.15_14,41,30.175892635
67,ER_700_800_0.15_59,44,30.385584985
68,ER_700_800_0.15_49,43,31.111578297
69,ER_700_800_0.15_82,43,30.201512269000002
70,ER_700_800_0.15_92,42,30.510983191
71,ER_700_800_0.15_22,43,30.312202983000002
72,ER_700_800_0.15_105,41,30.453664806000003
73,ER_700_800_0.15_32,43,30.212760133000003
74,ER_700_800_0.15_115,43,30.167419965
75,ER_700_800_0.15_40,42,30.239341708
76,ER_700_800_0.15_50,43,30.280075205000003
77,ER_700_800_0.15_114,42,30.179379733
78,ER_700_800_0.15_33,41,30.733881107000002
79,ER_700_800_0.15_104,42,30.199409533
80,ER_700_800_0.15_23,44,30.168201532
81,ER_700_800_0.15_51,42,30.212344554
82,ER_700_800_0.15_41,45,30.276631228000003
83,ER_700_800_0.15_77,44,30.347811994
84,ER_700_800_0.15_67,42,30.342163126000003
85,ER_700_800_0.15_2,43,30.659338196
86,ER_700_800_0.15_15,41,30.430489403000003
87,ER_700_800_0.15_122,41,30.647139948000003
88,ER_700_800_0.15_48,42,30.155449228000002
89,ER_700_800_0.15_58,43,30.254835939000003
90,ER_700_800_0.15_93,42,30.796040711000003
91,ER_700_800_0.15_83,43,30.277097498000003
92,ER_700_800_0.15_9,41,30.392742511
93,ER_700_800_0.15_43,42,30.275623816000003
94,ER_700_800_0.15_53,42,30.487394668
95,ER_700_800_0.15_106,41,30.358506613000003
96,ER_700_800_0.15_21,43,30.368550991000003
97,ER_700_800_0.15_116,43,30.218271439000002
98,ER_700_800_0.15_31,44,30.824036254000003
99,ER_700_800_0.15_98,43,30.296133191000003
100,ER_700_800_0.15_88,43,30.476684027
101,ER_700_800_0.15_120,42,30.193110261
102,ER_700_800_0.15_17,42,30.723675862
103,ER_700_800_0.15_65,42,30.393404639000003
104,ER_700_800_0.15_75,42,30.306316838
105,ER_700_800_0.15_0,43,30.322866265000002
106,ER_700_800_0.15_38,42,30.199003567000002
107,ER_700_800_0.15_28,43,30.388977200000003
108,ER_700_800_0.15_81,42,30.204375435000003
109,ER_700_800_0.15_91,42,30.217298473000003
110,ER_700_800_0.15_16,42,30.245352062000002
111,ER_700_800_0.15_121,42,30.209902940000003
112,ER_700_800_0.15_1,44,30.306248163000003
113,ER_700_800_0.15_74,43,30.290905298000002
114,ER_700_800_0.15_64,43,30.284015500000002
115,ER_700_800_0.15_90,41,30.297735951000003
116,ER_700_800_0.15_80,42,31.163577547000003
117,ER_700_800_0.15_29,43,30.172908638000003
118,ER_700_800_0.15_39,43,30.2426238
119,ER_700_800_0.15_8,43,30.859040841000002
120,ER_700_800_0.15_52,44,30.299069475000003
121,ER_700_800_0.15_42,42,30.471498432
122,ER_700_800_0.15_89,43,30.359133622
123,ER_700_800_0.15_99,45,30.281039127000003
124,ER_700_800_0.15_30,42,30.678494942
125,ER_700_800_0.15_117,44,30.500062564
126,ER_700_800_0.15_20,44,30.550379709
127,ER_700_800_0.15_107,43,30.263789826000004
