,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 9000 Solution Size","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 9000 Solution Time","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.05_15,86,90,92,94,2.764259099960327,30.864649057388306,30.037317037582397,30.01605796813965
1,ER_700_800_0.05_23,86,91,95,96,1.5566680431365967,30.86861538887024,30.017620086669922,30.02621102333069
2,ER_700_800_0.05_2,87,93,91,97,1.6718173027038574,30.766498804092407,30.00995182991028,30.025101900100708
3,ER_700_800_0.05_22,87,91,89,95,1.5118062496185303,30.254810333251953,30.011929035186768,30.01208996772766
4,ER_700_800_0.05_3,88,91,93,95,1.5100204944610596,30.11080837249756,30.0366849899292,30.04131293296814
5,ER_700_800_0.05_14,85,92,88,92,1.5965793132781982,30.825778484344482,30.02657985687256,30.022582054138184
6,ER_700_800_0.05_1,83,90,87,95,1.212890386581421,30.908650636672974,30.028498888015747,30.01380705833435
7,ER_700_800_0.05_20,82,87,91,89,1.4587681293487549,30.426179885864258,30.01126790046692,30.032926082611084
8,ER_700_800_0.05_30,89,92,95,97,1.682081937789917,30.7174129486084,30.028929948806763,30.02493906021118
9,ER_700_800_0.05_29,85,88,91,93,1.173560380935669,30.018505573272705,30.018571138381958,30.029510021209717
10,ER_700_800_0.05_8,85,89,93,93,1.5641088485717773,30.789687871932983,30.017030954360962,30.015473127365112
11,ER_700_800_0.05_16,84,89,95,91,1.2571849822998047,30.29028010368347,30.035579919815063,30.018460988998413
12,ER_700_800_0.05_28,87,91,88,95,1.3438751697540283,30.106760501861572,30.018923044204712,30.024192094802856
