,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Size","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Time","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
0,ER_700_800_0.15_47,38,39,37,39,2.654888391494751,31.055940866470337,30.003124952316284,30.00722098350525
1,ER_700_800_0.15_57,39,39,38,39,1.5560812950134277,30.609212160110474,30.004801988601685,30.002187967300415
2,ER_700_800_0.15_25,37,40,39,41,1.402961254119873,30.344151973724365,30.007863998413086,30.002140998840332
3,ER_700_800_0.15_102,38,39,40,40,1.5166573524475098,31.484798192977905,30.020264863967896,30.002558946609497
4,ER_700_800_0.15_35,37,39,37,39,0.9923770427703857,32.197946548461914,30.019455909729004,30.019541025161743
5,ER_700_800_0.15_112,38,39,38,40,1.456087589263916,32.07677173614502,30.005923986434937,30.007447957992554
6,ER_700_800_0.15_78,36,39,39,38,1.4239552021026611,30.128559827804565,30.005270957946777,30.00426197052002
7,ER_700_800_0.15_68,37,38,38,39,1.575333595275879,31.207671403884888,30.003324031829834,30.005772829055786
8,ER_700_800_0.15_85,38,39,40,38,1.3466477394104004,32.16143345832825,30.002382040023804,30.004549026489258
9,ER_700_800_0.15_95,37,39,37,37,1.4167094230651855,31.32973313331604,30.028761863708496,30.020121097564697
10,ER_700_800_0.15_124,37,40,40,42,1.3208823204040527,30.312599182128906,30.006412029266357,30.00869083404541
11,ER_700_800_0.15_13,35,39,38,36,1.8694405555725098,32.45630764961243,30.02542805671692,30.0038640499115
12,ER_700_800_0.15_4,37,39,36,40,1.7020378112792969,31.89098834991455,30.004055976867676,30.00447416305542
13,ER_700_800_0.15_61,37,40,37,37,1.713489055633545,31.17264461517334,30.00570583343506,30.007248878479004
14,ER_700_800_0.15_71,36,39,37,38,1.5902831554412842,31.311492443084717,30.00629711151123,30.011610984802246
15,ER_700_800_0.15_94,37,39,37,40,1.8721578121185303,30.77731490135193,30.00195598602295,30.002892017364502
16,ER_700_800_0.15_84,37,39,39,42,1.8261892795562744,32.32430410385132,30.006484985351562,30.006246089935303
17,ER_700_800_0.15_12,37,39,39,39,1.5658154487609863,31.738807439804077,30.003732919692993,30.003026008605957
18,ER_700_800_0.15_125,37,39,35,38,1.7031943798065186,30.479899883270264,30.327694177627563,30.464931964874268
19,ER_700_800_0.15_70,37,39,37,40,1.605872392654419,30.96107530593872,30.00817084312439,30.0030300617218
20,ER_700_800_0.15_60,36,39,34,38,1.9537348747253418,31.22646403312683,31.7396719455719,31.413964986801147
21,ER_700_800_0.15_5,36,40,38,40,11.303308010101318,30.76464080810547,30.00285291671753,30.0033118724823
22,ER_700_800_0.15_56,38,38,35,41,2.002913475036621,30.513089656829834,31.107780933380127,30.007394075393677
23,ER_700_800_0.15_46,37,39,37,39,1.926570177078247,31.11796283721924,30.009525060653687,30.007878065109253
24,ER_700_800_0.15_113,37,39,35,37,1.9110114574432373,30.95603585243225,30.007171869277954,30.007383823394775
25,ER_700_800_0.15_34,36,40,39,40,1.904888391494751,30.90726113319397,30.005249977111816,30.006766080856323
26,ER_700_800_0.15_103,38,39,39,40,1.8548016548156738,30.812801599502563,30.002794981002808,30.00445818901062
27,ER_700_800_0.15_24,36,39,38,40,1.7196626663208008,30.059211015701294,30.00575613975525,30.00728988647461
28,ER_700_800_0.15_69,36,39,38,40,1.7406954765319824,30.08399200439453,30.00847578048706,30.004059076309204
29,ER_700_800_0.15_79,38,39,38,40,1.8347084522247314,31.04237961769104,30.184289932250977,30.709004163742065
30,ER_700_800_0.15_118,37,39,38,37,3.766075372695923,30.192363262176514,30.004436016082764,30.005877017974854
31,ER_700_800_0.15_108,37,39,39,39,1.7984483242034912,30.44350266456604,30.002575159072876,30.006672143936157
32,ER_700_800_0.15_86,36,38,38,38,1.6974494457244873,30.310680627822876,30.003682851791382,30.00385594367981
33,ER_700_800_0.15_96,36,39,37,37,1.733940839767456,30.7435040473938,30.00319004058838,30.00327205657959
34,ER_700_800_0.15_62,38,40,35,39,1.848853349685669,30.112300872802734,30.006412029266357,30.011647939682007
35,ER_700_800_0.15_72,36,39,36,41,1.787348985671997,31.164084672927856,30.005797863006592,30.003642082214355
36,ER_700_800_0.15_7,37,40,35,37,1.7944681644439697,30.82135796546936,30.314867973327637,30.263848066329956
37,ER_700_800_0.15_127,37,40,37,39,1.8794841766357422,31.025387287139893,30.010366916656494,30.003268003463745
38,ER_700_800_0.15_10,36,40,38,38,1.485703945159912,30.111414670944214,30.01197600364685,30.004621028900146
39,ER_700_800_0.15_101,38,40,36,38,1.8113763332366943,30.162635326385498,30.00460195541382,30.007515907287598
40,ER_700_800_0.15_26,36,39,37,40,1.7131433486938477,30.724642753601074,30.00282096862793,30.003900051116943
41,ER_700_800_0.15_111,37,40,35,38,1.8675637245178223,30.427584409713745,30.448344945907593,30.43669891357422
42,ER_700_800_0.15_36,37,39,37,41,1.9088947772979736,30.33173441886902,30.38799285888672,30.00846004486084
43,ER_700_800_0.15_44,37,40,37,38,1.8681793212890625,30.171607732772827,30.002583026885986,30.003165006637573
44,ER_700_800_0.15_54,37,39,37,39,2.0012662410736084,30.208214282989502,30.005290031433105,30.00387191772461
45,ER_700_800_0.15_19,37,40,38,42,1.3699584007263184,30.672085523605347,30.008856058120728,30.00465202331543
46,ER_700_800_0.15_37,37,39,42,38,1.931429147720337,31.02402114868164,30.00401496887207,30.002867937088013
47,ER_700_800_0.15_110,36,39,35,41,1.7047946453094482,30.23331594467163,30.014991998672485,30.004045963287354
48,ER_700_800_0.15_27,36,39,34,38,1.729984998703003,31.785778760910034,30.326760053634644,30.008054971694946
49,ER_700_800_0.15_100,37,41,39,39,2.472219944000244,35.37404727935791,30.008852005004883,30.008246183395386
50,ER_700_800_0.15_55,37,39,39,39,2.9793107509613037,38.03438425064087,30.00542688369751,30.003530025482178
51,ER_700_800_0.15_45,36,38,38,38,3.125398635864258,40.4121880531311,30.005824089050293,30.003042936325073
52,ER_700_800_0.15_18,39,39,36,42,3.7864625453948975,33.10467481613159,30.012962818145752,30.009459018707275
53,ER_700_800_0.15_97,36,40,35,38,3.075529098510742,37.30678749084473,30.316980838775635,30.529855966567993
54,ER_700_800_0.15_87,37,38,36,38,8.67369794845581,40.11214590072632,30.149926900863647,30.003002166748047
55,ER_700_800_0.15_109,38,39,37,39,2.9331212043762207,39.430227756500244,30.00933003425598,30.004038095474243
56,ER_700_800_0.15_119,38,38,36,40,3.7136690616607666,36.278411626815796,30.003954887390137,30.008225202560425
57,ER_700_800_0.15_6,37,40,38,40,2.7416069507598877,37.22574210166931,30.016989946365356,30.008239030838013
58,ER_700_800_0.15_73,37,38,37,39,2.379291296005249,39.397395610809326,30.024585008621216,30.021213054656982
59,ER_700_800_0.15_63,37,40,40,41,1.6904783248901367,35.418729066848755,30.00797200202942,30.00537109375
60,ER_700_800_0.15_11,36,39,40,39,2.689166784286499,37.22775197029114,30.005933046340942,30.0097439289093
61,ER_700_800_0.15_126,37,38,38,41,2.6806507110595703,36.81579923629761,30.00603413581848,30.003048181533813
62,ER_700_800_0.15_3,37,38,37,39,3.148573160171509,30.671372652053833,30.005621910095215,30.004072904586792
63,ER_700_800_0.15_66,37,38,39,40,2.694521903991699,36.12313222885132,30.003822088241577,30.007232904434204
64,ER_700_800_0.15_76,38,39,37,39,2.8499817848205566,36.790393590927124,30.004056215286255,30.00287699699402
65,ER_700_800_0.15_123,37,39,37,38,2.225743293762207,36.12999081611633,30.010442972183228,30.0028178691864
66,ER_700_800_0.15_14,37,38,38,39,2.549800157546997,36.53526735305786,30.020437955856323,30.00464701652527
67,ER_700_800_0.15_59,37,39,39,39,2.499799966812134,37.46364164352417,30.002725839614868,30.00289297103882
68,ER_700_800_0.15_49,38,40,36,40,2.8261868953704834,35.07905721664429,30.010951042175293,30.00502896308899
69,ER_700_800_0.15_82,38,39,34,40,3.190777063369751,36.14206624031067,30.857958793640137,30.005852937698364
70,ER_700_800_0.15_92,37,39,38,38,2.9010186195373535,36.76202583312988,30.688371181488037,30.791304111480713
71,ER_700_800_0.15_22,38,39,38,39,3.3369357585906982,37.74097418785095,30.00972294807434,30.005383014678955
72,ER_700_800_0.15_105,36,38,36,37,3.0844759941101074,36.32095670700073,30.00373387336731,30.003993034362793
73,ER_700_800_0.15_32,36,39,36,38,3.2028262615203857,33.83428192138672,30.5176739692688,30.02008295059204
